[200, 150, 1.2, 3.1]:: Return=0.0315, terminal=False
[200, 150, 2.2, 3.1]:: Return=1.5601, terminal=False
[200, 150, 2.4, 3.1]:: Return=1.3016, terminal=False
[200, 150, 2.1, 3.1]:: Return=0.3717, terminal=False
[200, 150, 1.8, 3.1]:: Return=0.4061, terminal=False
[200, 150, 0.5, 3.1]:: Return=0.5691, terminal=False
[200, 150, 1.8, 3.1]:: Return=-0.6932, terminal=False
[200, 150, 1.2, 3.1]:: Return=0.0233, terminal=False
[200, 150, 1.1, 3.1]:: Return=0.2391, terminal=False
[200, 150, 2.2, 3.1]:: Return=-0.0161, terminal=False
[200, 150, 2.5, 3.1]:: Return=-0.1849, terminal=False
[200, 150, 0.8, 3.1]:: Return=0.0, terminal=False
[200, 150, 1.0, 3.1]:: Return=-0.3886, terminal=False
[200, 150, 2.0, 3.1]:: Return=0.1478, terminal=False
[200, 150, 1.6, 3.1]:: Return=0.8469, terminal=False
[200, 150, 1.9, 3.1]:: Return=-0.3343, terminal=False
[200, 150, 0.5, 3.1]:: Return=0.0, terminal=False
[200, 150, 1.2, 3.1]:: Return=1.1178, terminal=False
[200, 150, 1.2, 3.1]:: Return=-0.1912, terminal=False
[200, 150, 3.0, 3.1]:: Return=0.1623, terminal=False
[200, 150, 1.6, 3.1]:: Return=0.1607, terminal=True
    92: E[0:04:16]-R[11:32:39]: Return=     9.925, Steps=  34, Features = 100
[200, 150, 1.0, 3.1]:: Return=0.0, terminal=False
[200, 150, 1.2, 3.1]:: Return=0.0, terminal=False
[200, 150, 2.3, 3.1]:: Return=0.0847, terminal=False
[200, 150, 0.7, 3.1]:: Return=-0.3507, terminal=False
[200, 150, 1.6, 3.1]:: Return=1.281, terminal=False
[200, 150, 1.6, 3.1]:: Return=0.1996, terminal=False
[200, 150, 1.9, 3.1]:: Return=0.3154, terminal=False
[200, 150, 0.8, 3.1]:: Return=0.1439, terminal=False
[200, 150, 1.4, 3.1]:: Return=0.0, terminal=False
[200, 150, 1.9, 3.1]:: Return=0.0, terminal=False
[200, 150, 1.3, 3.1]:: Return=0.0541, terminal=False
