 [7,] 183.6628 145.5944 0.7301534 4.739749
 [8,] 183.6628 139.7694 0.7301534 4.739749
 [9,] 183.6628 139.7694 0.7301534 4.666674
[10,] 183.6628 114.8440 0.7301534 4.739749
[11,] 183.6628 114.8440 0.7301534 4.739749
[12,] 183.6628 114.8440 0.7301534 4.739749

2009,2013
          [,1]     [,2]      [,3]     [,4]
 [1,] 208.2404 109.7334 0.6210253 4.330915
 [2,] 208.2404 109.7334 0.6210253 4.330915
 [3,] 208.2404 109.7334 0.8374947 4.330915
 [4,] 208.2404 103.9084 0.6210253 4.330915
 [5,] 204.5029 109.7334 0.6210253 4.330915
 [6,] 204.5029 109.7334 0.6210253 3.892465
 [7,] 208.2404 109.7334 0.6876503 4.403990
 [8,] 208.2404 109.7334 0.6210253 4.403990
 [9,] 208.2404 138.8584 0.6210253 3.892465
[10,] 208.2404 109.7334 0.6210253 4.330915
[11,] 208.2404 103.9084 0.6210253 4.330915
[12,] 208.2404 138.8584 0.6210253 4.257840

2009,2012
          [,1]     [,2]      [,3]     [,4]
 [1,] 184.8620 115.6709 0.7216098 3.846931
 [2,] 184.8620 115.6709 0.7216098 3.846931
 [3,] 184.8620 115.6709 0.7216098 3.846931
 [4,] 184.8620 115.6709 0.7216098 3.700781
 [5,] 188.5995 118.5834 0.7882348 3.846931
 [6,] 184.8620 109.8459 0.7216098 3.846931
 [7,] 181.1245 115.6709 0.7882348 3.846931
 [8,] 184.8620 115.6709 0.7216098 3.773856
 [9,] 184.8620 118.5834 0.7216098 3.846931
[10,] 184.8620 109.8459 0.7216098 3.773856
[11,] 184.8620 115.6709 0.7216098 3.920006
[12,] 184.8620 115.6709 0.7216098 3.846931

2009,2011
          [,1]     [,2]      [,3]     [,4]
 [1,] 174.7755 84.50048 0.5091475 3.805454
 [2,] 174.7755 84.50048 0.6423975 3.805454
 [3,] 174.7755 84.50048 0.6423975 4.639304
 [4,] 174.7755 84.50048 0.6423975 4.785454
 [5,] 178.5130 84.50048 0.6423975 3.805454
 [6,] 174.7755 87.41298 0.6423975 4.858529
 [7,] 174.7755 84.50048 0.6423975 3.732379
 [8,] 174.7755 84.50048 0.6423975 4.639304
 [9,] 174.7755 84.50048 0.6423975 4.858529
[10,] 174.7755 84.50048 0.5091475 4.858529
[11,] 171.0380 84.50048 0.6423975 4.858529
[12,] 171.0380 84.50048 0.6423975 4.785454

2010,2014
          [,1]     [,2]     [,3]     [,4]
 [1,] 242.1674 97.64156 2.489616 3.415328
 [2,] 242.1674 97.64156 2.489616 3.415328
 [3,] 242.1674 97.64156 2.489616 3.415328
 [4,] 245.9049 97.64156 2.422991 3.415328
 [5,] 245.9049 83.07906 2.489616 3.269178
 [6,] 245.9049 97.64156 2.622866 3.561478
 [7,] 242.1674 97.64156 2.489616 3.415328
 [8,] 242.1674 97.64156 2.489616 3.488403
 [9,] 245.9049 85.99156 2.489616 3.269178
[10,] 242.1674 83.07906 2.489616 3.269178
[11,] 245.9049 91.81656 2.489616 3.415328
[12,] 242.1674 94.72906 2.489616 3.415328

2010,2013
          [,1]     [,2]      [,3]     [,4]
 [1,] 198.4828 117.3491 0.6470755 3.910717
 [2,] 198.4828 113.8450 0.5763228 3.910717
 [3,] 194.7453 113.8450 0.6470755 3.910717
 [4,] 198.4828 102.7866 0.6470755 4.129942
 [5,] 194.7453 113.8450 0.5763228 3.910717
 [6,] 198.4828 117.3491 0.5763228 3.910717
 [7,] 198.4828 113.8450 0.5763228 3.764567
 [8,] 198.4828 113.8450 0.6470755 3.837642
 [9,] 202.2203 105.6991 0.6470755 3.910717
[10,] 198.4828 105.6991 0.6470755 3.910717
[11,] 198.4828 113.8450 0.6470755 3.983792
[12,] 198.4828 113.8450 0.5096978 3.910717

2010,2012
          [,1]     [,2]      [,3]     [,4]
 [1,] 201.8671 81.11518 0.6227891 3.415244
 [2,] 201.8671 57.81518 0.6227891 3.415244
 [3,] 201.8671 63.64018 0.6227891 3.415244
 [4,] 201.8671 81.11518 0.6227891 3.415244
 [5,] 201.8671 60.72768 0.6227891 3.415244
 [6,] 201.8671 81.11518 0.6227891 3.488319
 [7,] 201.8671 63.64018 0.6227891 3.415244
 [8,] 201.8671 81.11518 0.6227891 3.342169
 [9,] 198.1296 57.81518 0.6227891 3.415244
[10,] 194.3921 60.72768 0.6227891 3.415244
[11,] 198.1296 63.64018 0.6227891 3.415244
[12,] 201.8671 81.11518 0.6227891 3.415244

2011,2014
          [,1]     [,2]     [,3]     [,4]
 [1,] 243.1574 121.3947 2.601053 4.542748
 [2,] 243.1574 121.3947 2.601053 4.252816
 [3,] 243.1574 121.3947 2.601053 4.469673
 [4,] 243.1574 118.4822 2.601053 4.325891
 [5,] 243.1574 121.3947 2.601053 4.398966
 [6,] 246.8949 124.3072 2.601053 4.761973
 [7,] 239.4199 121.3947 2.601053 4.542748
 [8,] 243.1574 121.3947 2.601053 4.761973
 [9,] 243.1574 121.3947 2.667678 4.688898
[10,] 246.8949 121.3947 2.601053 4.542748
[11,] 243.1574 109.7447 2.601053 4.252816
[12,] 243.1574 118.4822 2.601053 4.545116

2011,2013
          [,1]      [,2]     [,3]     [,4]
 [1,] 156.3750 108.57702 1.447854 4.816890
 [2,] 156.3750 108.57702 1.447854 4.816890
 [3,] 156.3750 108.57702 1.447854 4.889965
 [4,] 156.3750 108.57702 1.447854 4.743815
 [5,] 156.3750 111.48952 1.447854 4.670740
 [6,] 156.3750 108.57702 1.447854 4.816890
 [7,] 156.3750  99.83952 1.381229 4.889965
 [8,] 156.3750 117.31452 1.447854 4.889965
 [9,] 156.3750 108.57702 1.381229 4.889965
[10,] 156.3750 108.57702 1.447854 4.816890
[11,] 152.6375 117.31452 1.447854 4.816890
[12,] 156.3750 108.57702 1.447854 4.816890

2012,2014
          [,1]     [,2]     [,3]     [,4]
 [1,] 182.3687 125.1163 2.350463 4.852938
 [2,] 182.3687 125.1163 2.350463 4.852938
 [3,] 182.3687 122.2038 2.350463 3.881898
 [4,] 186.1062 130.9413 2.350463 4.852938
 [5,] 182.3687 125.1163 2.417088 4.852938
 [6,] 182.3687 130.9413 2.350463 4.852938
 [7,] 182.3687 128.0288 2.350463 4.852938
 [8,] 182.3687 116.3788 2.350463 4.852938
 [9,] 182.3687 119.2913 2.350463 4.926013
[10,] 182.3687 119.2913 2.350463 4.852938
[11,] 182.3687 125.1163 2.350463 4.852938
[12,] 182.3687 119.2913 2.283838 4.852938
